seqname	start	end	CD4
chr1	2539757	2539820	0
chr1	2540139	2540281	0
chr1	2541002	2541299	0
chr1	2541159	2541285	0
chr1	2542499	2542760	0
chr1	2544477	2544679	0
chr1	2544579	2544859	0
chr1	2551919	2552179	0
chr1	2555399	2555703	0
chr1	2557278	2557499	0
chr1	2559350	2559679	0
chr1	2560419	2560913	0
chr1	2560839	2561272	0
chr1	2560859	2561052	0
chr1	2563059	2563260	0
chr1	2563079	2563499	0
chr1	2564039	2564342	0
chr1	2564379	2564479	0
chr1	2567279	2567657	0
chr1	2569959	2570179	1
chr1	2571699	2571895	1
chr1	2573828	2574125	0
chr1	2574018	2574183	1
chr1	2584859	2585079	0
chr1	2695579	2695723	0
chr1	2695678	2695793	0
chr1	2716405	2716725	0
chr1	2717085	2717570	0
chr1	2719670	2720205	0
chr1	6530043	6530230	0
chr1	8021511	8021768	1
chr1	8021920	8022103	0
chr1	8022109	8022291	1
chr1	8027800	8027980	0
chr1	8042700	8042860	0
chr1	8046361	8046522	0
chr1	8053060	8053220	0
chr1	8074560	8074960	0
chr1	8078501	8078800	0
chr1	8078920	8079320	0
chr1	8095440	8095629	0
chr1	8106140	8106320	0
chr1	8109810	8109960	0
chr1	8111760	8111887	0
chr1	8114120	8114361	0
chr1	8119200	8119388	0
chr1	8130020	8130280	0
chr1	8133280	8133500	0
chr1	8135931	8136098	0
chr1	8147320	8147640	0
chr1	8150420	8150740	0
chr1	8166240	8166420	0
chr1	8168020	8168280	0
chr1	8169400	8169563	0
chr1	8171260	8171440	0
chr1	8173260	8173380	0
chr1	8173751	8174000	0
chr1	8174000	8174197	0
chr1	8177380	8177467	0
chr1	8177500	8177742	0
chr1	8178520	8178760	0
chr1	8180060	8180160	0
chr1	8180200	8180280	0
chr1	8183675	8183870	0
chr1	8279680	8279880	0
chr1	11856297	11856449	0
chr1	17672515	17672755	0
chr1	20171408	20171547	0
chr1	20171713	20171945	0
chr1	20171853	20171993	0
chr1	22698273	22698611	0
chr1	22702139	22702376	0
chr1	25289431	25289816	0
chr1	25289671	25289931	0
chr1	25290891	25291098	1
chr1	25292639	25292971	1
chr1	25293251	25293433	1
chr1	25293531	25294151	0
chr1	25295531	25295722	0
chr1	25296611	25296831	0
chr1	25296732	25296926	0
chr1	25299231	25299421	0
chr1	25299941	25300079	0
chr1	25300355	25300419	0
chr1	25300471	25300651	0
chr1	25305105	25305431	0
chr1	32715641	32715881	1
chr1	32738188	32738421	1
chr1	32738381	32738701	0
chr1	38263705	38263892	0
chr1	38291272	38291452	1
chr1	38294432	38294632	0
chr1	38318852	38319172	0
chr1	38327847	38328269	0
chr1	38334242	38334428	0
chr1	38354113	38354292	0
chr1	38354221	38354452	0
chr1	38360812	38361012	0
chr1	38616812	38617092	0
chr1	38639107	38639332	0
chr1	65308603	65308843	0
chr1	65359723	65359923	0
chr1	65429223	65429443	0
chr1	65455263	65455520	0
chr1	67699443	67699663	0
chr1	67699783	67699963	1
chr1	67722903	67723170	0
chr1	67735503	67735623	0
chr1	69778543	69778683	0
chr1	69778945	69779120	0
chr1	69780743	69780903	0
chr1	69786043	69786403	0
chr1	85681663	85682099	0
chr1	85741619	85741783	0
chr1	85741816	85742043	0
chr1	85741923	85742163	0
chr1	85744642	85744825	1
chr1	85747209	85747308	0
chr1	85753663	85753883	0
chr1	85915155	85915323	0
chr1	92212377	92212577	0
chr1	92217897	92218177	0
chr1	92221384	92221664	0
chr1	92223377	92223597	0
chr1	92554257	92554477	0
chr1	92939793	92940017	1
chr1	92951146	92951437	0
chr1	92962657	92962910	0
chr1	92982257	92982433	0
chr1	92982368	92982598	0
chr1	93072117	93072369	0
chr1	93075397	93075477	0
chr1	93077097	93077257	0
chr1	93082357	93082491	0
chr1	93090356	93090477	0
chr1	93090797	93091137	0
chr1	93118994	93119197	0
chr1	93119297	93119440	0
chr1	93156177	93156417	0
chr1	93192197	93192397	0
chr1	93195037	93195217	0
chr1	93196579	93196667	0
chr1	93197422	93197517	0
chr1	93203237	93203437	0
chr1	93205317	93205537	0
chr1	93211910	93211971	0
chr1	93233257	93233435	0
chr1	93257177	93257277	0
chr1	93426237	93426482	1
chr1	93426717	93426976	1
chr1	93436650	93436857	0
chr1	93442877	93443057	0
chr1	93444817	93444977	0
chr1	93448737	93448997	0
chr1	93455257	93455617	0
chr1	93457691	93457914	0
chr1	101247239	101247328	0
chr1	101263249	101263356	0
chr1	101263331	101263479	0
chr1	101269010	101269155	0
chr1	101273448	101273652	0
chr1	101276474	101276613	0
chr1	101281676	101281865	0
chr1	101285896	101286056	0
chr1	101302076	101302336	0
chr1	101313116	101313616	0
chr1	101315909	101316096	0
chr1	101388852	101388985	0
chr1	101393316	101393536	0
chr1	101396576	101396701	0
chr1	101396676	101396756	0
chr1	101396814	101397048	0
chr1	101407456	101407682	0
chr1	101408896	101408956	0
chr1	101415516	101415748	0
chr1	101418575	101418659	0
chr1	101418636	101418836	0
chr1	101420456	101420526	0
chr1	101439216	101439496	0
chr1	101443656	101443876	0
chr1	101451530	101451683	0
chr1	101460836	101461044	0
chr1	101470836	101471039	1
chr1	101482916	101483256	0
chr1	101494084	101494336	0
chr1	101497909	101497959	0
chr1	101511767	101512013	0
chr1	101517599	101517836	0
chr1	101523189	101523367	0
chr1	114377442	114377624	0
chr1	117038034	117038322	0
chr1	117038249	117038450	0
chr1	117048278	117048402	0
chr1	117048840	117049034	0
chr1	117054390	117054530	0
chr1	117075382	117075575	0
chr1	117079102	117079262	0
chr1	117080122	117080383	1
chr1	117081722	117081952	0
chr1	117087279	117087662	0
chr1	117100864	117101062	1
chr1	117259102	117259302	0
chr1	117263682	117263922	0
chr1	120254403	120254623	1
chr1	120254463	120254783	1
chr1	120254944	120255203	1
chr1	120257023	120257123	0
chr1	120266823	120267083	0
chr1	120437843	120438002	0
chr1	120438963	120439172	0
chr1	120445959	120446077	0
chr1	120451183	120451288	0
chr1	120472370	120472563	0
chr1	120496003	120496243	0
chr1	120505463	120505683	0
chr1	120508406	120508563	0
chr1	120523783	120523950	0
chr1	120526903	120527043	0
chr1	120529723	120529803	0
chr1	120530798	120531144	0
chr1	120531035	120531243	0
chr1	120553991	120554163	0
chr1	151801496	151801705	0
chr1	152549916	152550022	0
chr1	152550016	152550213	0
chr1	152551096	152551296	0
chr1	152590136	152590440	0
chr1	152590442	152590736	0
chr1	152590828	152591116	0
chr1	152591078	152591356	0
chr1	152591345	152591516	0
chr1	152591556	152591825	0
chr1	152591912	152592110	0
chr1	152592136	152592456	0
chr1	152592736	152592834	0
chr1	152593176	152593436	0
chr1	152593536	152593996	0
chr1	152603496	152603856	0
chr1	154983017	154983176	0
chr1	157670270	157670512	0
chr1	157670630	157670835	1
chr1	157691943	157692092	0
chr1	157694549	157694667	0
chr1	157749476	157749676	0
chr1	157754014	157754178	0
chr1	157774770	157775110	0
chr1	157778650	157778890	0
chr1	157783130	157783350	0
chr1	157788170	157788350	0
chr1	157788454	157788597	0
chr1	160389690	160390090	0
chr1	160394970	160395330	0
chr1	160399550	160399750	1
chr1	160638149	160638312	0
chr1	160703819	160704010	0
chr1	160709990	160710270	0
chr1	160711470	160711650	0
chr1	160717570	160717810	0
chr1	160722530	160722670	0
chr1	160839296	160839590	0
chr1	160846182	160846370	0
chr1	160848466	160848670	0
chr1	160848954	160849166	0
chr1	160850090	160850350	0
chr1	160850913	160851070	0
chr1	160851870	160852090	0
chr1	160853650	160854050	0
chr1	160854510	160854690	1
chr1	160858830	160859010	0
chr1	160876025	160876236	0
chr1	160876760	160876990	0
chr1	160877190	160877390	0
chr1	160878310	160878590	0
chr1	160879226	160879378	0
chr1	160879910	160880030	0
chr1	160880510	160880610	0
chr1	161471935	161472170	0
chr1	172844118	172844315	1
chr1	172844280	172844479	0
chr1	172853199	172853500	0
chr1	172856400	172856580	0
chr1	172862209	172862269	0
chr1	172862320	172862520	0
chr1	172862940	172863160	0
chr1	172863809	172864060	1
chr1	172864980	172865560	0
chr1	172866956	172867160	0
chr1	172869600	172869818	0
chr1	173331739	173332079	0
chr1	173349559	173349759	0
chr1	186871352	186871512	0
chr1	186873590	186873772	0
chr1	186874812	186875192	0
chr1	186875314	186875712	0
chr1	186879767	186879902	0
chr1	186889832	186890032	0
chr1	186890632	186890829	0
chr1	186910401	186910692	0
chr1	186913069	186913312	0
chr1	186915052	186915286	0
chr1	192524130	192524330	0
chr1	192530860	192530988	0
chr1	192531474	192531667	0
chr1	192537270	192537525	0
chr1	192540930	192541127	1
chr1	192541170	192541244	0
chr1	192544703	192544930	1
chr1	197493582	197493683	0
chr1	197555850	197556030	0
chr1	197701737	197702050	0
chr1	198601524	198601731	0
chr1	198617968	198618217	0
chr1	198640349	198640577	0
chr1	198650733	198650849	0
chr1	198653029	198653309	0
chr1	198656109	198656509	0
chr1	198670469	198670663	0
chr1	200077868	200078047	0
chr1	200082248	200082668	0
chr1	200084888	200085148	0
chr1	200085275	200085448	0
chr1	200094808	200095008	0
chr1	200803646	200803808	0
chr1	200832688	200832888	0
chr1	200874588	200874971	0
chr1	200874959	200875163	1
chr1	200875728	200875928	0
chr1	200877378	200877608	0
chr1	200877693	200877882	0
chr1	200884968	200885128	0
chr1	200886767	200886930	0
chr1	200889728	200890728	0
chr1	200890890	200891155	0
chr1	200894906	200895108	0
chr1	200902508	200902688	0
chr1	200920248	200920429	0
chr1	200920328	200920588	0
chr1	200929248	200929639	0
chr1	200939428	200939646	0
chr1	200939569	200939768	0
chr1	200950888	200950988	0
chr1	200966848	200967064	0
chr1	200983288	200983593	0
chr1	200989238	200989448	0
chr1	200989408	200989594	1
chr1	200989756	200989902	0
chr1	201003908	201004128	0
chr1	206939782	206939986	1
chr1	206942225	206942427	0
chr1	206943728	206944005	0
chr1	206943945	206944157	1
chr1	206954860	206955042	0
chr10	6077023	6077503	1
chr10	6078743	6079143	0
chr10	6080203	6080583	0
chr10	6080323	6080639	1
chr10	6088363	6089081	1
chr10	6090243	6090963	0
chr10	6091823	6092243	0
chr10	6092043	6092263	1
chr10	6094643	6094863	1
chr10	6096511	6096743	0
chr10	6097043	6097322	0
chr10	6098823	6099003	0
chr10	6098996	6099203	0
chr10	6101616	6102490	0
chr10	6104303	6104563	1
chr10	6106123	6106380	0
chr10	6106603	6106783	0
chr10	6108103	6108383	0
chr10	6116863	6117417	0
chr10	6120303	6120543	0
chr10	6125289	6125507	0
chr10	6185943	6186370	0
chr10	6214318	6214583	1
chr10	6390242	6390462	0
chr10	6391458	6391642	0
chr10	6393502	6393862	0
chr10	6396426	6396722	0
chr10	8098413	8098723	1
chr10	8098883	8099110	1
chr10	8099004	8099263	0
chr10	8101183	8101625	1
chr10	8101223	8102301	0
chr10	8101755	8102323	0
chr10	8102121	8102325	1
chr10	8103843	8104073	0
chr10	8103991	8104200	0
chr10	8105543	8105803	0
chr10	8106363	8107123	0
chr10	8107463	8107663	0
chr10	8108032	8108423	0
chr10	30690669	30690869	0
chr10	30693529	30693769	0
chr10	30699989	30700127	0
chr10	30706209	30706909	0
chr10	30711049	30711449	0
chr10	30719069	30719409	0
chr10	30721788	30722237	1
chr10	30722729	30723069	1
chr10	30722969	30723889	0
chr10	30723722	30723969	0
chr10	30727989	30728249	0
chr10	30728269	30728569	0
chr10	31391469	31391649	0
chr10	31411169	31411380	0
chr10	31415009	31415249	0
chr10	35278828	35279028	0
chr10	35280868	35281188	0
chr10	35281078	35281268	0
chr10	35284948	35285130	0
chr10	35287596	35287709	0
chr10	35288573	35288747	0
chr10	35296613	35297215	0
chr10	35296828	35297246	0
chr10	35303248	35303488	0
chr10	35306648	35306868	0
chr10	35309488	35309868	0
chr10	35326168	35326328	0
chr10	35330408	35330692	0
chr10	35330508	35330768	0
chr10	35347708	35347908	0
chr10	35362307	35362480	0
chr10	35368288	35368428	0
chr10	35372468	35372731	0
chr10	35385391	35385529	0
chr10	35386048	35386308	0
chr10	35399537	35399691	0
chr10	35402713	35402775	0
chr10	35406848	35407039	0
chr10	35409362	35409533	1
chr10	35415448	35415548	0
chr10	35416328	35416544	0
chr10	35416486	35416733	1
chr10	35417407	35417547	0
chr10	35418308	35418808	0
chr10	35422468	35422548	0
chr10	35427668	35427848	0
chr10	35429728	35429943	0
chr10	35434228	35434428	0
chr10	35434308	35434669	0
chr10	35438308	35438608	0
chr10	35440268	35440471	0
chr10	35440471	35440644	0
chr10	35441388	35441628	0
chr10	35445148	35445328	0
chr10	35455208	35455347	0
chr10	35471948	35472208	0
chr10	35472168	35472419	0
chr10	35474268	35474488	0
chr10	35474568	35474788	0
chr10	35481868	35482053	0
chr10	35483508	35483678	0
chr10	35485648	35485784	0
chr10	35492788	35492988	0
chr10	35498950	35499398	0
chr10	35512707	35512888	0
chr10	35517144	35517287	0
chr10	35529028	35529190	1
chr10	59903281	59903561	0
chr10	59925821	59926061	0
chr10	59932301	59932521	0
chr10	59932359	59932621	0
chr10	59933201	59933481	0
chr10	59935879	59936041	0
chr10	59936361	59936561	0
chr10	59937005	59937189	0
chr10	59937233	59937401	1
chr10	59938021	59938401	0
chr10	59938177	59938641	0
chr10	59938549	59938741	0
chr10	59938681	59938871	0
chr10	59944880	59945064	0
chr10	59950141	59950341	0
chr10	59961533	59961755	0
chr10	59965963	59966138	0
chr10	59969021	59969441	0
chr10	59972401	59972661	1
chr10	59973241	59973593	0
chr10	59974621	59974821	0
chr10	59977461	59977632	0
chr10	59977881	59978134	0
chr10	59980621	59980901	0
chr10	59996085	59996221	0
chr10	59996616	59996730	0
chr10	59996921	59997094	0
chr10	59997921	59998261	0
chr10	59999261	59999481	0
chr10	59999421	59999641	0
chr10	59999641	59999845	0
chr10	60000741	60000901	0
chr10	60000813	60000981	0
chr10	60008430	60008701	0
chr10	60009181	60009309	0
chr10	60010401	60010661	0
chr10	60013021	60013241	0
chr10	60014521	60014706	0
chr10	60015761	60016081	0
chr10	60015949	60016187	0
chr10	60022580	60022700	0
chr10	60023675	60023740	0
chr10	60024620	60024784	1
chr10	60025240	60025518	0
chr10	60025500	60025685	0
chr10	60027020	60027320	1
chr10	60027547	60027680	0
chr10	60028157	60028265	0
chr10	60028220	60028380	0
chr10	60028416	60028549	0
chr10	60028420	60028640	0
chr10	60028712	60028960	1
chr10	60029131	60029252	0
chr10	60030679	60030837	0
chr10	60034050	60034228	0
chr10	60034965	60035123	0
chr10	60038740	60038913	0
chr10	60040282	60040480	0
chr10	60041520	60041720	0
chr10	60042456	60042705	1
chr10	60046920	60047120	0
chr10	63779559	63779979	0
chr10	63781239	63781539	0
chr10	75599012	75599198	0
chr10	75607618	75607818	0
chr10	75617278	75617478	1
chr10	75631118	75632038	0
chr10	75631632	75631843	0
chr10	75632438	75633006	0
chr10	75632718	75632818	0
chr10	75639478	75639662	1
chr10	75647238	75647498	0
chr10	75652438	75652918	0
chr10	75654078	75654282	0
chr10	75654838	75655018	0
chr10	75656238	75656398	0
chr10	75656541	75656798	0
chr10	75658570	75658806	0
chr10	75658858	75659078	0
chr10	75659864	75660080	0
chr10	75660081	75660402	0
chr10	75661119	75661258	0
chr10	75671158	75671658	0
chr10	75672158	75672381	0
chr10	75673378	75674338	0
chr10	75676235	75676478	0
chr10	75677718	75678018	0
chr10	75678238	75678498	0
chr10	75678558	75678818	0
chr10	75682538	75682812	0
chr10	75683831	75684018	0
chr10	81043481	81043675	0
chr10	81045116	81045337	1
chr10	81046153	81046399	1
chr10	81046397	81046736	0
chr10	81047310	81047548	0
chr10	81059197	81059413	0
chr10	82249516	82249796	0
chr10	82251481	82251716	1
chr10	82253556	82253767	0
chr10	82253936	82254328	0
chr10	82257416	82257697	0
chr10	82257556	82257856	0
chr10	82265196	82265356	0
chr10	82269516	82269756	0
chr10	82269607	82269896	0
chr10	82271116	82271416	0
chr10	82271276	82271425	1
chr10	82272576	82273156	0
chr10	82272816	82273196	0
chr10	82280075	82280141	0
chr10	82284396	82284596	0
chr10	90039228	90039429	0
chr10	90051228	90051329	0
chr10	94424257	94424457	0
chr10	94467137	94467297	0
chr10	94470417	94470597	0
chr10	94474017	94474202	0
chr10	94480197	94480410	0
chr10	94502077	94502263	1
chr10	101283177	101283462	0
chr10	104222775	104223014	0
chr10	104227997	104228177	1
chr10	104229017	104229217	0
chr10	104229937	104230177	0
chr10	104236592	104236773	1
chr10	104239037	104239237	0
chr10	104257117	104257303	0
chr10	104264018	104264317	0
chr10	104341277	104341497	0
chr10	104341657	104341917	0
chr10	104341817	104342057	0
chr10	104341957	104342297	0
chr10	104355175	104355327	0
chr10	104356297	104356477	1
chr10	104360464	104360579	0
chr10	104365581	104365777	0
chr10	104368917	104369136	0
chr10	104370550	104370676	0
chr10	104371697	104372077	0
chr10	104371915	104372088	1
chr10	104372082	104372351	1
chr10	104373177	104373417	1
chr10	104373397	104373857	0
chr10	104373717	104373859	0
chr10	104375151	104375317	1
chr10	104377657	104377897	0
chr10	104378529	104378715	0
chr10	104380537	104380857	0
chr11	2197327	2197510	0
chr11	14402846	14403103	0
chr11	14424846	14425026	0
chr11	36438043	36438108	0
chr11	47259651	47259872	0
chr11	47260231	47260511	0
chr11	47290791	47291051	1
chr11	47291671	47292111	0
chr11	47292091	47292351	1
chr11	47293651	47293832	0
chr11	47294492	47294671	0
chr11	47298231	47298431	0
chr11	47305611	47305731	0
chr11	47308971	47309101	0
chr11	47324531	47324708	0
chr11	47327141	47327331	0
chr11	47333611	47333771	0
chr11	47348580	47348911	0
chr11	47350191	47351091	0
chr11	47352191	47352458	0
chr11	47352331	47352551	0
chr11	47354731	47355311	0
chr11	47359918	47360820	0
chr11	47378366	47378511	0
chr11	47380911	47381051	0
chr11	47392411	47392651	0
chr11	47409831	47410511	0
chr11	47410671	47410831	0
chr11	47415751	47415971	1
chr11	47422611	47422799	0
chr11	47424811	47425131	0
chr11	47431051	47431691	0
chr11	47431692	47432370	1
chr11	47441491	47441711	1
chr11	47456051	47456271	0
chr11	47475674	47475763	0
chr11	47479512	47479932	0
chr11	47495188	47495283	0
chr11	47523552	47524052	0
chr11	47531832	47532003	0
chr11	47539072	47539235	0
chr11	47539152	47539312	0
chr11	47539852	47540207	0
chr11	47555212	47555452	0
chr11	47586989	47587192	1
chr11	47606861	47607019	0
chr11	47607654	47607972	0
chr11	47628387	47628582	0
chr11	47632572	47632776	0
chr11	47633372	47633652	0
chr11	47710632	47710852	0
chr11	47727885	47728092	0
chr11	47735970	47736212	0
chr11	47759533	47759651	0
chr11	47772892	47773212	0
chr11	47779344	47779505	0
chr11	47789332	47789532	0
chr11	47813632	47813852	0
chr11	47813752	47814029	0
chr11	47849392	47849572	0
chr11	47886152	47886412	0
chr11	47888552	47888712	0
chr11	47901030	47901272	0
chr11	48004272	48004468	0
chr11	48011215	48011373	0
chr11	48028292	48028489	1
chr11	58174673	58174973	0
chr11	58176113	58176313	0
chr11	58177533	58177753	0
chr11	58185952	58186047	0
chr11	58189460	58189559	0
chr11	58191133	58191473	0
chr11	58201635	58201879	0
chr11	58201996	58202153	0
chr11	58216913	58217133	0
chr11	58233273	58233533	0
chr11	58262633	58263093	0
chr11	58292813	58293053	1
chr11	58292971	58293146	0
chr11	58338993	58339153	0
chr11	58340433	58340553	0
chr11	58346274	58346593	1
chr11	58395573	58395754	0
chr11	60776183	60776372	0
chr11	60776692	60777072	0
chr11	60793272	60793872	0
chr11	61541892	61542156	0
chr11	61543452	61543552	0
chr11	61546492	61546634	0
chr11	61560012	61560212	1
chr11	61569632	61569852	0
chr11	61571452	61571532	0
chr11	61579432	61579652	0
chr11	61580618	61580704	0
chr11	61582652	61582893	1
chr11	61585033	61585220	0
chr11	61594652	61594972	0
chr11	61594772	61594982	1
chr11	61596310	61596537	1
chr11	61596492	61596632	0
chr11	61596615	61596859	0
chr11	61597812	61598253	0
chr11	61597940	61598155	0
chr11	61600232	61600692	0
chr11	61600252	61600452	0
chr11	61600252	61601032	0
chr11	61604572	61605012	0
chr11	61605432	61606032	0
chr11	61609252	61609772	0
chr11	61609652	61609776	0
chr11	61609652	61610032	0
chr11	61610732	61610795	0
chr11	61618472	61619056	0
chr11	61618532	61618792	0
chr11	61621432	61621652	0
chr11	61622576	61623172	0
chr11	64012868	64013132	1
chr11	64016132	64016353	0
chr11	64023865	64024031	0
chr11	64033472	64033658	0
chr11	64036432	64036732	1
chr11	64036610	64036836	1
chr11	64038780	64038972	0
chr11	64038852	64039032	1
chr11	64044203	64044453	0
chr11	64046852	64047012	0
chr11	64053117	64053335	1
chr11	64070752	64070952	0
chr11	64070852	64071052	1
chr11	64078680	64078880	0
chr11	64085006	64085232	1
chr11	64085152	64085552	0
chr11	64097152	64097310	0
chr11	64102692	64102972	0
chr11	64105852	64106052	0
chr11	64106272	64106692	1
chr11	64107560	64107772	1
chr11	64107692	64107972	0
chr11	64108490	64108694	0
chr11	64108872	64109372	1
chr11	64110352	64110516	0
chr11	64110652	64110750	0
chr11	64114772	64114972	0
chr11	64142372	64142512	0
chr11	64142832	64143232	0
chr11	64143595	64143812	0
chr11	64146258	64146446	0
chr11	64147567	64147626	0
chr11	64149872	64150192	0
chr11	64150172	64150652	0
chr11	65702351	65702571	0
chr11	65705201	65705445	0
chr11	65711451	65711631	0
chr11	65724271	65724494	1
chr11	65727691	65727856	1
chr11	65730091	65730254	0
chr11	65730211	65730451	0
chr11	65734451	65734611	0
chr11	65734951	65735391	0
chr11	65735631	65735811	0
chr11	65738071	65738191	0
chr11	65753971	65754151	0
chr11	65756789	65756840	0
chr11	65757304	65757553	1
chr11	65761391	65761570	0
chr11	65769131	65769331	1
chr11	65769611	65769851	1
chr11	65770325	65770512	0
chr11	65770833	65771051	0
chr11	65781131	65781351	0
chr11	76291044	76291177	0
chr11	76299532	76299748	1
chr11	76299644	76299984	0
chr11	95311144	95311344	0
chr11	95311325	95311522	0
chr11	95417519	95417741	0
chr11	95421724	95421968	1
chr11	95421724	95422304	0
chr11	95424464	95424664	0
chr11	96023224	96023575	0
chr11	96025844	96026091	0
chr11	96026818	96027006	1
chr11	109961250	109961446	0
chr11	109963026	109963666	0
chr11	109963425	109963626	1
chr11	109964386	109964806	1
chr11	109975005	109975199	0
chr11	109993853	109994045	0
chr11	109995425	109995655	0
chr11	109996446	109996665	0
chr11	114403502	114403782	0
chr11	114411434	114411622	0
chr11	114424462	114424662	0
chr11	114429942	114430102	0
chr11	114430025	114430226	0
chr11	114430122	114430460	0
chr11	114430182	114430502	0
chr11	114430462	114430718	0
chr11	118478171	118478425	0
chr11	118480515	118480775	0
chr11	118480675	118481007	1
chr11	118482735	118482877	0
chr11	118492560	118492775	0
chr11	118496036	118496273	0
chr11	118499996	118500176	0
chr11	118507160	118507331	0
chr11	118512138	118512378	0
chr11	118518987	118519725	0
chr11	118520466	118520725	0
chr11	118522132	118522205	0
chr11	118522725	118523005	0
chr11	118529529	118529725	0
chr11	118538141	118538303	0
chr11	118539098	118539249	0
chr11	118546490	118546670	0
chr11	118548410	118548649	0
chr11	118548689	118549029	0
chr11	118549728	118549889	0
chr11	118550707	118550793	0
chr11	118551929	118552249	0
chr11	118552749	118553029	0
chr11	118553729	118553929	0
chr11	118554771	118554969	0
chr11	118557129	118557249	0
chr11	118557835	118558149	0
chr11	118558149	118558369	0
chr11	118559149	118559329	1
chr11	118559635	118559726	0
chr11	118559729	118559929	0
chr11	118561269	118561529	0
chr11	118562509	118562586	0
chr11	118562669	118562849	0
chr11	118563176	118563439	1
chr11	118563365	118563641	0
chr11	118563570	118563745	0
chr11	118563689	118563889	0
chr11	118564429	118564729	0
chr11	118565149	118565309	0
chr11	118565649	118565829	0
chr11	118566089	118566369	0
chr11	118566509	118566757	1
chr11	118566892	118567149	0
chr11	118567349	118567549	0
chr11	118567479	118567649	0
chr11	118567598	118567852	0
chr11	118569052	118569367	0
chr11	118569329	118569497	0
chr11	118570669	118570949	0
chr11	118571009	118571208	1
chr11	118573339	118573629	0
chr11	118721469	118721629	0
chr11	118726769	118726966	0
chr11	118740569	118741549	0
chr11	118740862	118741070	1
chr11	118743129	118743449	1
chr11	118743189	118743984	0
chr11	118747609	118747829	1
chr11	118755669	118755848	0
chr11	118763229	118763489	1
chr11	118767440	118767657	0
chr11	118783349	118783569	1
chr11	122503008	122503191	0
chr11	122505168	122505448	0
chr11	122505307	122505518	0
chr11	122508108	122508328	0
chr11	122509468	122509688	0
chr11	122517747	122517948	0
chr11	122518301	122518908	0
chr11	122518608	122518928	0
chr11	122526288	122526528	1
chr11	122526480	122526768	1
chr11	122527990	122528122	0
chr11	122528728	122528928	0
chr11	122530028	122530628	0
chr11	122530493	122530628	0
chr11	122530548	122530768	0
chr11	122533074	122533167	0
chr11	122533868	122534088	0
chr11	122534128	122534368	0
chr11	122534983	122535188	0
chr11	122535288	122535708	0
chr11	122535528	122535716	0
chr11	128380811	128381075	0
chr11	128383904	128384215	1
chr11	128385355	128386065	0
chr11	128385815	128386055	1
chr11	128389895	128390115	0
chr11	128391595	128391989	0
chr11	128392815	128393115	0
chr11	128396498	128397235	1
chr11	128420739	128421064	0
chr11	128420935	128421227	1
chr11	128422496	128422573	0
chr11	128422634	128422887	0
chr12	6446708	6446946	0
chr12	6446964	6447067	0
chr12	6450746	6451126	0
chr12	6452386	6452505	0
chr12	6452736	6452946	0
chr12	6453326	6453567	0
chr12	6454955	6455306	0
chr12	6455006	6455176	0
chr12	6455066	6455246	1
chr12	6502742	6502846	0
chr12	9834136	9834476	0
chr12	9867876	9868088	0
chr12	9876056	9876248	0
chr12	9876276	9877096	0
chr12	9876596	9877116	0
chr12	9877616	9877834	0
chr12	9877829	9878636	0
chr12	9880061	9880249	0
chr12	9884836	9885096	0
chr12	9885545	9885876	0
chr12	9885733	9886036	0
chr12	9888956	9889356	0
chr12	9893036	9893251	1
chr12	9899516	9899722	0
chr12	9899576	9899936	0
